2023-04-09 02:07:39.115 INFO  c.e.IMS_UI_API.ImsUiApiApplication - Starting ImsUiApiApplication using Java 17.0.2 with PID 11780 (C:\Users\ICT-Lap\IdeaProjects\IMS_UI_API\target\classes started by ICT-Lap in C:\Users\ICT-Lap\IdeaProjects\IMS_UI_API)
2023-04-09 02:07:39.122 INFO  c.e.IMS_UI_API.ImsUiApiApplication - No active profile set, falling back to 1 default profile: "default"
2023-04-09 02:07:40.281 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-09 02:07:40.289 INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-04-09 02:07:40.290 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-04-09 02:07:40.290 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-04-09 02:07:40.393 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-09 02:07:40.393 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1211 ms
2023-04-09 02:07:40.912 INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@748ac6f3, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@68f6e55d, org.springframework.security.web.context.SecurityContextHolderFilter@37baddde, org.springframework.security.web.header.HeaderWriterFilter@7af3874e, org.springframework.web.filter.CorsFilter@6fff46bf, org.springframework.security.web.authentication.logout.LogoutFilter@6ed043d3, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@62b790a5, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4b31a708, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@11e355ca, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1835dc92, org.springframework.security.web.access.ExceptionTranslationFilter@4f3faa70, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@60a19573]
2023-04-09 02:07:41.042 INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-04-09 02:07:41.059 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-04-09 02:07:41.069 INFO  c.e.IMS_UI_API.ImsUiApiApplication - Started ImsUiApiApplication in 2.394 seconds (process running for 4.17)
